	uid	time	trade_id	price	amount	exchange	instrmnt	vol_dllr	sell2	Class	Asset	datetime	year	hour
12793368	20582241	1660521601397.0	20370522	0.0869	171.0	binc	tru-usdt	14.8599	1.0	spot	tru	2022-08-15 00:00:01.396999936	2022	0
12793369	20582242	1660521630572.0	20370523	0.0868	120.0	binc	tru-usdt	10.416	0.0	spot	tru	2022-08-15 00:00:30.572000000	2022	0
12793370	20582243	1660521654452.0	20370524	0.0867	8303.0	binc	tru-usdt	719.8701	0.0	spot	tru	2022-08-15 00:00:54.452000000	2022	0
12793371	20582244	1660521654462.0	20370525	0.0867	5017.0	binc	tru-usdt	434.9739	0.0	spot	tru	2022-08-15 00:00:54.462000128	2022	0
12793372	20582245	1660521654581.0	20370526	0.0866	122.0	binc	tru-usdt	10.5652	0.0	spot	tru	2022-08-15 00:00:54.580999936	2022	0
12793373	20582246	1660521654602.0	20370527	0.0866	674.0	binc	tru-usdt	58.3684	0.0	spot	tru	2022-08-15 00:00:54.601999872	2022	0
12793374	20582247	1660521655861.0	20370528	0.0867	671.0	binc	tru-usdt	58.1757	1.0	spot	tru	2022-08-15 00:00:55.860999936	2022	0
12793375	20582248	1660521761328.0	20370529	0.0866	329.0	binc	tru-usdt	28.4914	1.0	spot	tru	2022-08-15 00:02:41.328000000	2022	0
12793377	20582250	1660521765210.0	20370530	0.0866	1473.0	binc	tru-usdt	127.5618	0.0	spot	tru	2022-08-15 00:02:45.209999872	2022	0
12793378	20582251	1660521765210.0	20370531	0.0865	48.0	binc	tru-usdt	4.151999999999999	0.0	spot	tru	2022-08-15 00:02:45.209999872	2022	0
12793379	20582252	1660521827170.0	20370532	0.0865	4255.0	binc	tru-usdt	368.0575	0.0	spot	tru	2022-08-15 00:03:47.169999872	2022	0
12793380	20582253	1660521941327.0	20370533	0.0865	1012.0	binc	tru-usdt	87.538	0.0	spot	tru	2022-08-15 00:05:41.327000064	2022	0
12793381	20582254	1660521941327.0	20370534	0.0865	231.0	binc	tru-usdt	19.9815	0.0	spot	tru	2022-08-15 00:05:41.327000064	2022	0
12793382	20582255	1660521941327.0	20370535	0.0865	313.0	binc	tru-usdt	27.0745	0.0	spot	tru	2022-08-15 00:05:41.327000064	2022	0
12793383	20582256	1660521941327.0	20370536	0.0865	4577.0	binc	tru-usdt	395.9105	0.0	spot	tru	2022-08-15 00:05:41.327000064	2022	0
12793384	20582257	1660521941327.0	20370537	0.0865	836.0	binc	tru-usdt	72.314	0.0	spot	tru	2022-08-15 00:05:41.327000064	2022	0
12793385	20582258	1660521953976.0	20370538	0.0865	116.0	binc	tru-usdt	10.034	0.0	spot	tru	2022-08-15 00:05:53.976000000	2022	0
12793386	20582259	1660521954173.0	20370539	0.0865	224.0	binc	tru-usdt	19.376	0.0	spot	tru	2022-08-15 00:05:54.172999936	2022	0
12793388	20582261	1660521954187.0	20370540	0.0865	224.0	binc	tru-usdt	19.376	0.0	spot	tru	2022-08-15 00:05:54.187000064	2022	0
12793389	20582262	1660521954199.0	20370541	0.0865	22557.0	binc	tru-usdt	1951.1805	0.0	spot	tru	2022-08-15 00:05:54.199000064	2022	0
12793390	20582263	1660521954199.0	20370542	0.0865	5120.0	binc	tru-usdt	442.88	0.0	spot	tru	2022-08-15 00:05:54.199000064	2022	0
12793391	20582264	1660521954199.0	20370543	0.0864	434.0	binc	tru-usdt	37.4976	0.0	spot	tru	2022-08-15 00:05:54.199000064	2022	0
12793392	20582265	1660521954199.0	20370544	0.0864	410.0	binc	tru-usdt	35.424	0.0	spot	tru	2022-08-15 00:05:54.199000064	2022	0
12793393	20582266	1660521954199.0	20370545	0.0864	965.0	binc	tru-usdt	83.376	0.0	spot	tru	2022-08-15 00:05:54.199000064	2022	0
12793394	20582267	1660521954252.0	20370546	0.0863	579.0	binc	tru-usdt	49.9677	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793395	20582268	1660521954252.0	20370547	0.0863	514.0	binc	tru-usdt	44.3582	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793396	20582269	1660521954252.0	20370548	0.0863	691.0	binc	tru-usdt	59.6333	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793397	20582270	1660521954252.0	20370549	0.0862	129.0	binc	tru-usdt	11.1198	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793399	20582272	1660521954252.0	20370550	0.0862	2055.0	binc	tru-usdt	177.141	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793400	20582273	1660521954252.0	20370551	0.0862	3175.0	binc	tru-usdt	273.685	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793401	20582274	1660521954252.0	20370552	0.0861	117.0	binc	tru-usdt	10.0737	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793402	20582275	1660521954252.0	20370553	0.0861	232.0	binc	tru-usdt	19.9752	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793403	20582276	1660521954252.0	20370554	0.0861	314.0	binc	tru-usdt	27.0354	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793404	20582277	1660521954252.0	20370555	0.0861	3555.0	binc	tru-usdt	306.0855	0.0	spot	tru	2022-08-15 00:05:54.252000000	2022	0
12793405	20582278	1660521954452.0	20370556	0.0864	1561.0	binc	tru-usdt	134.87040000000002	1.0	spot	tru	2022-08-15 00:05:54.452000000	2022	0
12793406	20582279	1660521955888.0	20370557	0.0864	627.0	binc	tru-usdt	54.1728	1.0	spot	tru	2022-08-15 00:05:55.888000000	2022	0
12793407	20582280	1660521972010.0	20370558	0.0864	512.0	binc	tru-usdt	44.2368	1.0	spot	tru	2022-08-15 00:06:12.009999872	2022	0
12793408	20582281	1660521972010.0	20370559	0.0864	1169.0	binc	tru-usdt	101.0016	1.0	spot	tru	2022-08-15 00:06:12.009999872	2022	0
12793410	20582283	1660521972010.0	20370560	0.0864	2630.0	binc	tru-usdt	227.232	1.0	spot	tru	2022-08-15 00:06:12.009999872	2022	0
12793411	20582284	1660521975197.0	20370561	0.0864	302.0	binc	tru-usdt	26.0928	1.0	spot	tru	2022-08-15 00:06:15.196999936	2022	0
12793412	20582285	1660521989778.0	20370562	0.0864	648.0	binc	tru-usdt	55.9872	1.0	spot	tru	2022-08-15 00:06:29.777999872	2022	0
12793413	20582286	1660522116853.0	20370563	0.0862	2030.0	binc	tru-usdt	174.986	0.0	spot	tru	2022-08-15 00:08:36.852999936	2022	0
12793414	20582287	1660522116853.0	20370564	0.0862	2293.0	binc	tru-usdt	197.6566	0.0	spot	tru	2022-08-15 00:08:36.852999936	2022	0
12793415	20582288	1660522124986.0	20370565	0.0862	243.0	binc	tru-usdt	20.9466	1.0	spot	tru	2022-08-15 00:08:44.985999872	2022	0
12793416	20582289	1660522140740.0	20370566	0.0862	1477.0	binc	tru-usdt	127.3174	1.0	spot	tru	2022-08-15 00:09:00.740000000	2022	0
12793417	20582290	1660522187025.0	20370567	0.0863	500.0	binc	tru-usdt	43.15	1.0	spot	tru	2022-08-15 00:09:47.024999936	2022	0
12793418	20582291	1660522197787.0	20370568	0.0862	737.0	binc	tru-usdt	63.5294	0.0	spot	tru	2022-08-15 00:09:57.787000064	2022	0
12793419	20582292	1660522197787.0	20370569	0.0862	407.0	binc	tru-usdt	35.0834	0.0	spot	tru	2022-08-15 00:09:57.787000064	2022	0
12793421	20582294	1660522261231.0	20370570	0.0862	601.0	binc	tru-usdt	51.8062	1.0	spot	tru	2022-08-15 00:11:01.231000064	2022	0
12793422	20582295	1660522397349.0	20370571	0.086	581.0	binc	tru-usdt	49.966	0.0	spot	tru	2022-08-15 00:13:17.348999936	2022	0
12793423	20582296	1660522397349.0	20370572	0.086	655.0	binc	tru-usdt	56.33	0.0	spot	tru	2022-08-15 00:13:17.348999936	2022	0
12793424	20582297	1660522397349.0	20370573	0.086	267.0	binc	tru-usdt	22.962	0.0	spot	tru	2022-08-15 00:13:17.348999936	2022	0
12793425	20582298	1660522397349.0	20370574	0.086	134.0	binc	tru-usdt	11.524	0.0	spot	tru	2022-08-15 00:13:17.348999936	2022	0
12793426	20582299	1660522397349.0	20370575	0.086	133.0	binc	tru-usdt	11.438	0.0	spot	tru	2022-08-15 00:13:17.348999936	2022	0
12793427	20582300	1660522397349.0	20370576	0.086	1000.0	binc	tru-usdt	86.0	0.0	spot	tru	2022-08-15 00:13:17.348999936	2022	0
12793428	20582301	1660522397527.0	20370577	0.086	117.0	binc	tru-usdt	10.062	1.0	spot	tru	2022-08-15 00:13:17.527000064	2022	0
12793429	20582302	1660522399922.0	20370578	0.086	649.0	binc	tru-usdt	55.81399999999999	1.0	spot	tru	2022-08-15 00:13:19.921999872	2022	0
12793430	20582303	1660522461912.0	20370579	0.086	429.0	binc	tru-usdt	36.894	1.0	spot	tru	2022-08-15 00:14:21.912000000	2022	0
12793432	20582305	1660522461936.0	20370580	0.086	514.0	binc	tru-usdt	44.20399999999999	1.0	spot	tru	2022-08-15 00:14:21.936000000	2022	0
12793433	20582306	1660522513013.0	20370581	0.0859	428.0	binc	tru-usdt	36.7652	0.0	spot	tru	2022-08-15 00:15:13.012999936	2022	0
12793434	20582307	1660522513031.0	20370582	0.0859	8.0	binc	tru-usdt	0.6872	0.0	spot	tru	2022-08-15 00:15:13.031000064	2022	0
12793435	20582308	1660522513031.0	20370583	0.0859	431.0	binc	tru-usdt	37.0229	0.0	spot	tru	2022-08-15 00:15:13.031000064	2022	0
12793436	20582309	1660522559572.0	20370584	0.086	2700.0	binc	tru-usdt	232.2	1.0	spot	tru	2022-08-15 00:15:59.572000000	2022	0
12793437	20582310	1660522559572.0	20370585	0.086	514.0	binc	tru-usdt	44.20399999999999	1.0	spot	tru	2022-08-15 00:15:59.572000000	2022	0
12793438	20582311	1660522619282.0	20370586	0.086	2325.0	binc	tru-usdt	199.95	0.0	spot	tru	2022-08-15 00:16:59.281999872	2022	0
12793439	20582312	1660522676778.0	20370587	0.086	514.0	binc	tru-usdt	44.20399999999999	1.0	spot	tru	2022-08-15 00:17:56.777999872	2022	0
12793440	20582313	1660522676778.0	20370588	0.086	1169.0	binc	tru-usdt	100.534	1.0	spot	tru	2022-08-15 00:17:56.777999872	2022	0
12793441	20582314	1660522676808.0	20370589	0.086	1169.0	binc	tru-usdt	100.534	1.0	spot	tru	2022-08-15 00:17:56.808000000	2022	0
12793443	20582316	1660522676835.0	20370590	0.086	1169.0	binc	tru-usdt	100.534	1.0	spot	tru	2022-08-15 00:17:56.835000064	2022	0
12793444	20582317	1660522676853.0	20370591	0.086	1169.0	binc	tru-usdt	100.534	1.0	spot	tru	2022-08-15 00:17:56.852999936	2022	0
12793445	20582318	1660522676864.0	20370592	0.086	1169.0	binc	tru-usdt	100.534	1.0	spot	tru	2022-08-15 00:17:56.864000000	2022	0
12793446	20582319	1660522687314.0	20370593	0.0861	668.0	binc	tru-usdt	57.5148	1.0	spot	tru	2022-08-15 00:18:07.313999872	2022	0
12793447	20582320	1660522716465.0	20370594	0.0862	4063.0	binc	tru-usdt	350.2306	1.0	spot	tru	2022-08-15 00:18:36.464999936	2022	0
12793448	20582321	1660522716465.0	20370595	0.0862	514.0	binc	tru-usdt	44.3068	1.0	spot	tru	2022-08-15 00:18:36.464999936	2022	0
12793449	20582322	1660522716465.0	20370596	0.0862	1089.0	binc	tru-usdt	93.8718	1.0	spot	tru	2022-08-15 00:18:36.464999936	2022	0
12793450	20582323	1660522716813.0	20370597	0.0862	410.0	binc	tru-usdt	35.342	1.0	spot	tru	2022-08-15 00:18:36.812999936	2022	0
12793451	20582324	1660522755378.0	20370598	0.0863	179.0	binc	tru-usdt	15.4477	1.0	spot	tru	2022-08-15 00:19:15.377999872	2022	0
12793452	20582325	1660522838989.0	20370599	0.0861	2322.0	binc	tru-usdt	199.9242	0.0	spot	tru	2022-08-15 00:20:38.988999936	2022	0
12793454	20582327	1660522838989.0	20370600	0.0861	459.0	binc	tru-usdt	39.5199	0.0	spot	tru	2022-08-15 00:20:38.988999936	2022	0
12793455	20582328	1660522857328.0	20370601	0.0863	176.0	binc	tru-usdt	15.1888	1.0	spot	tru	2022-08-15 00:20:57.328000000	2022	0
12793456	20582329	1660522868254.0	20370602	0.0864	231.0	binc	tru-usdt	19.9584	0.0	spot	tru	2022-08-15 00:21:08.254000128	2022	0
12793457	20582330	1660522927394.0	20370603	0.0864	119.0	binc	tru-usdt	10.2816	0.0	spot	tru	2022-08-15 00:22:07.393999872	2022	0
12793458	20582331	1660522927864.0	20370604	0.0864	933.0	binc	tru-usdt	80.61120000000001	0.0	spot	tru	2022-08-15 00:22:07.864000000	2022	0
12793459	20582332	1660522968464.0	20370605	0.0863	1052.0	binc	tru-usdt	90.7876	0.0	spot	tru	2022-08-15 00:22:48.464000000	2022	0
12793460	20582333	1660522968464.0	20370606	0.0863	2700.0	binc	tru-usdt	233.01	0.0	spot	tru	2022-08-15 00:22:48.464000000	2022	0
12793461	20582334	1660522968464.0	20370607	0.0862	416.0	binc	tru-usdt	35.8592	0.0	spot	tru	2022-08-15 00:22:48.464000000	2022	0
12793462	20582335	1660522995544.0	20370608	0.0862	636.0	binc	tru-usdt	54.8232	0.0	spot	tru	2022-08-15 00:23:15.544000000	2022	0
12793463	20582336	1660522995544.0	20370609	0.0862	2700.0	binc	tru-usdt	232.74	0.0	spot	tru	2022-08-15 00:23:15.544000000	2022	0
12793465	20582338	1660522995544.0	20370610	0.0862	1000.0	binc	tru-usdt	86.2	0.0	spot	tru	2022-08-15 00:23:15.544000000	2022	0
12793466	20582339	1660522995544.0	20370611	0.0861	2062.0	binc	tru-usdt	177.5382	0.0	spot	tru	2022-08-15 00:23:15.544000000	2022	0
12793467	20582340	1660522995544.0	20370612	0.0861	1987.0	binc	tru-usdt	171.08069999999998	0.0	spot	tru	2022-08-15 00:23:15.544000000	2022	0
12793468	20582341	1660522995851.0	20370613	0.0862	1052.0	binc	tru-usdt	90.6824	0.0	spot	tru	2022-08-15 00:23:15.851000064	2022	0
12793469	20582342	1660523068581.0	20370614	0.0861	136.0	binc	tru-usdt	11.7096	0.0	spot	tru	2022-08-15 00:24:28.580999936	2022	0
12793470	20582343	1660523120907.0	20370615	0.0862	514.0	binc	tru-usdt	44.3068	1.0	spot	tru	2022-08-15 00:25:20.907000064	2022	0
12793471	20582344	1660523121980.0	20370616	0.0862	306.0	binc	tru-usdt	26.3772	1.0	spot	tru	2022-08-15 00:25:21.980000000	2022	0
12793472	20582345	1660523152111.0	20370617	0.0862	232.0	binc	tru-usdt	19.9984	1.0	spot	tru	2022-08-15 00:25:52.111000064	2022	0
12793473	20582346	1660523152111.0	20370618	0.0862	6.0	binc	tru-usdt	0.5172	1.0	spot	tru	2022-08-15 00:25:52.111000064	2022	0
12793474	20582347	1660523167254.0	20370619	0.0862	358.0	binc	tru-usdt	30.8596	1.0	spot	tru	2022-08-15 00:26:07.254000128	2022	0
12793476	20582349	1660523222873.0	20370620	0.0862	240.0	binc	tru-usdt	20.688	1.0	spot	tru	2022-08-15 00:27:02.872999936	2022	0
12793477	20582350	1660523268565.0	20370621	0.0862	116.0	binc	tru-usdt	9.9992	1.0	spot	tru	2022-08-15 00:27:48.564999936	2022	0
12793478	20582351	1660523269863.0	20370622	0.0862	145.0	binc	tru-usdt	12.499	1.0	spot	tru	2022-08-15 00:27:49.863000064	2022	0
12793479	20582352	1660523377440.0	20370623	0.0861	1052.0	binc	tru-usdt	90.5772	0.0	spot	tru	2022-08-15 00:29:37.440000000	2022	0
12793480	20582353	1660523377440.0	20370624	0.086	103.0	binc	tru-usdt	8.857999999999999	0.0	spot	tru	2022-08-15 00:29:37.440000000	2022	0
12793481	20582354	1660523377519.0	20370625	0.0861	124.0	binc	tru-usdt	10.6764	0.0	spot	tru	2022-08-15 00:29:37.519000064	2022	0
12793482	20582355	1660523536664.0	20370626	0.0862	1200.0	binc	tru-usdt	103.44	1.0	spot	tru	2022-08-15 00:32:16.664000000	2022	0
12793483	20582356	1660523536676.0	20370627	0.0862	635.0	binc	tru-usdt	54.737	1.0	spot	tru	2022-08-15 00:32:16.676000000	2022	0
