	uid	time	trade_id	price	amount	exchange	instrmnt	vol_dllr	sell2	Class	Asset	datetime	year	hour
8825	89405850	1660558822000.0	60013089	0.08574	185.872	polo	tru-usdt	15.93666528	0.0	spot	tru	2022-08-15 10:20:22	2022	10
8826	89405851	1660558862000.0	60013090	0.0857	36.38	polo	tru-usdt	3.117766	0.0	spot	tru	2022-08-15 10:21:02	2022	10
8827	89405852	1660558902000.0	60013091	0.08571	38.733	polo	tru-usdt	3.31980543	0.0	spot	tru	2022-08-15 10:21:42	2022	10
8828	89405853	1660558970000.0	60013092	0.08566	33.13	polo	tru-usdt	2.8379158	0.0	spot	tru	2022-08-15 10:22:50	2022	10
8829	89405854	1660559003000.0	60013093	0.08565	28.596	polo	tru-usdt	2.4492474	0.0	spot	tru	2022-08-15 10:23:23	2022	10
8830	89405855	1660559047000.0	60013094	0.08564	33.665	polo	tru-usdt	2.8830706	0.0	spot	tru	2022-08-15 10:24:07	2022	10
8831	89405856	1660559109000.0	60013095	0.08563	35.643	polo	tru-usdt	3.05211009	0.0	spot	tru	2022-08-15 10:25:09	2022	10
8832	89405857	1660559215000.0	60013096	0.08564	37.937000000000005	polo	tru-usdt	3.24892468	0.0	spot	tru	2022-08-15 10:26:55	2022	10
8833	89405858	1660559220000.0	60013097	0.08564	0.054	polo	tru-usdt	0.00462456	0.0	spot	tru	2022-08-15 10:27:00	2022	10
8834	89405859	1660559368000.0	60013098	0.08589	32.445	polo	tru-usdt	2.78670105	0.0	spot	tru	2022-08-15 10:29:28	2022	10
8835	89405860	1660559409000.0	60013099	0.08217	35.001999999999995	polo	tru-usdt	2.87611434	0.0	spot	tru	2022-08-15 10:30:09	2022	10
8836	89405861	1660559442000.0	60013100	0.08586	38.025	polo	tru-usdt	3.2648265000000003	0.0	spot	tru	2022-08-15 10:30:42	2022	10
8837	89405862	1660559474000.0	60013101	0.08594	31.784	polo	tru-usdt	2.73151696	0.0	spot	tru	2022-08-15 10:31:14	2022	10
8838	89405863	1660559514000.0	60013102	0.08573	37.785	polo	tru-usdt	3.23930805	0.0	spot	tru	2022-08-15 10:31:54	2022	10
8839	89405864	1660559600000.0	60013103	0.0857	32.647	polo	tru-usdt	2.7978479	0.0	spot	tru	2022-08-15 10:33:20	2022	10
8840	89405865	1660559639000.0	60013104	0.08569	31.062	polo	tru-usdt	2.66170278	0.0	spot	tru	2022-08-15 10:33:59	2022	10
8841	89405866	1660559686000.0	60013105	0.08564	36.887	polo	tru-usdt	3.15900268	0.0	spot	tru	2022-08-15 10:34:46	2022	10
8842	89405867	1660559719000.0	60013106	0.08563	32.745999999999995	polo	tru-usdt	2.8040399799999998	0.0	spot	tru	2022-08-15 10:35:19	2022	10
8843	89405868	1660559900000.0	60013107	0.08565	142.969	polo	tru-usdt	12.24529485	0.0	spot	tru	2022-08-15 10:38:20	2022	10
8844	89405869	1660559954000.0	60013108	0.08568	164.536	polo	tru-usdt	14.097444480000002	0.0	spot	tru	2022-08-15 10:39:14	2022	10
8845	89405870	1660559989000.0	60013109	0.08569	126.985	polo	tru-usdt	10.88134465	0.0	spot	tru	2022-08-15 10:39:49	2022	10
8846	89405871	1660560063000.0	60013110	0.08569	84.306	polo	tru-usdt	7.22418114	0.0	spot	tru	2022-08-15 10:41:03	2022	10
8847	89405872	1660560643000.0	60013111	0.0856	107.192	polo	tru-usdt	9.1756352	0.0	spot	tru	2022-08-15 10:50:43	2022	10
8848	89405873	1660560699000.0	60013112	0.08563	62.995000000000005	polo	tru-usdt	5.39426185	0.0	spot	tru	2022-08-15 10:51:39	2022	10
8849	89405874	1660560724000.0	60013113	0.08562	110.285	polo	tru-usdt	9.4426017	0.0	spot	tru	2022-08-15 10:52:04	2022	10
8850	89405875	1660560932000.0	60013114	0.08597	60.598	polo	tru-usdt	5.20961006	0.0	spot	tru	2022-08-15 10:55:32	2022	10
8851	89405876	1660560973000.0	60013115	0.0859	55.089	polo	tru-usdt	4.7321451	0.0	spot	tru	2022-08-15 10:56:13	2022	10
8852	89405877	1660561008000.0	60013116	0.08588	93.117	polo	tru-usdt	7.99688796	0.0	spot	tru	2022-08-15 10:56:48	2022	10
8853	89405878	1660561044000.0	60013117	0.08586	115.501	polo	tru-usdt	9.91691586	0.0	spot	tru	2022-08-15 10:57:24	2022	10
8854	89405879	1660561089000.0	60013118	0.08573	57.364	polo	tru-usdt	4.91781572	0.0	spot	tru	2022-08-15 10:58:09	2022	10
8855	89405880	1660561106000.0	60013119	0.08585	88.20700000000001	polo	tru-usdt	7.57257095	0.0	spot	tru	2022-08-15 10:58:26	2022	10
8856	89405881	1660561251000.0	60013120	0.08586	98.53	polo	tru-usdt	8.4597858	0.0	spot	tru	2022-08-15 11:00:51	2022	11
8857	89405882	1660561303000.0	60013121	0.08587	102.791	polo	tru-usdt	8.82666317	0.0	spot	tru	2022-08-15 11:01:43	2022	11
8858	89405883	1660561334000.0	60013122	0.08585	43.142	polo	tru-usdt	3.7037407	0.0	spot	tru	2022-08-15 11:02:14	2022	11
8859	89405884	1660561414000.0	60013123	0.08584	40.979	polo	tru-usdt	3.51763736	0.0	spot	tru	2022-08-15 11:03:34	2022	11
8860	89405885	1660561441000.0	60013124	0.08584	52.487	polo	tru-usdt	4.50548408	0.0	spot	tru	2022-08-15 11:04:01	2022	11
8861	89405886	1660561615000.0	60013125	0.08582	76.675	polo	tru-usdt	6.580248499999999	0.0	spot	tru	2022-08-15 11:06:55	2022	11
8862	89405887	1660561947000.0	60013126	0.08573	51.112	polo	tru-usdt	4.38183176	0.0	spot	tru	2022-08-15 11:12:27	2022	11
8863	89405888	1660562026000.0	60013127	0.08538	71.892	polo	tru-usdt	6.138138959999999	0.0	spot	tru	2022-08-15 11:13:46	2022	11
8864	89405889	1660562128000.0	60013128	0.08541	44.586000000000006	polo	tru-usdt	3.8080902600000006	0.0	spot	tru	2022-08-15 11:15:28	2022	11
8865	89405890	1660562273000.0	60013129	0.08552	84.059	polo	tru-usdt	7.18872568	0.0	spot	tru	2022-08-15 11:17:53	2022	11
8866	89405891	1660562315000.0	60013130	0.0855	171.908	polo	tru-usdt	14.698134	0.0	spot	tru	2022-08-15 11:18:35	2022	11
