uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89452430,1660521639000.0,60073363,8.952,0.98113,polo,dot-usdt,8.78307576,0.0,spot,dot,2022-08-15 00:00:39,2022,0
89452431,1660521644000.0,60073364,8.947,2.0551300000000006,polo,dot-usdt,18.387248110000005,0.0,spot,dot,2022-08-15 00:00:44,2022,0
89452432,1660521649000.0,60073365,8.958,1.9546499999999998,polo,dot-usdt,17.5097547,0.0,spot,dot,2022-08-15 00:00:49,2022,0
89452433,1660521702000.0,60073366,8.959,1.7459200000000001,polo,dot-usdt,15.64169728,0.0,spot,dot,2022-08-15 00:01:42,2022,0
89452434,1660521706000.0,60073367,8.965,1.81056,polo,dot-usdt,16.2316704,0.0,spot,dot,2022-08-15 00:01:46,2022,0
89452435,1660521710000.0,60073368,8.968,1.88562,polo,dot-usdt,16.91024016,0.0,spot,dot,2022-08-15 00:01:50,2022,0
89452436,1660521714000.0,60073369,8.969,0.69847,polo,dot-usdt,6.26457743,0.0,spot,dot,2022-08-15 00:01:54,2022,0
89452437,1660521716000.0,60073370,8.969,0.014480000000000002,polo,dot-usdt,0.12987112,0.0,spot,dot,2022-08-15 00:01:56,2022,0
89452438,1660521728000.0,60073371,8.954,0.8732299999999998,polo,dot-usdt,7.8189014199999995,0.0,spot,dot,2022-08-15 00:02:08,2022,0
89452439,1660521732000.0,60073372,8.961,0.96061,polo,dot-usdt,8.60802621,0.0,spot,dot,2022-08-15 00:02:12,2022,0
89452440,1660521737000.0,60073373,8.952,1.84041,polo,dot-usdt,16.47535032,0.0,spot,dot,2022-08-15 00:02:17,2022,0
89452441,1660521741000.0,60073374,8.96,1.84665,polo,dot-usdt,16.545984,0.0,spot,dot,2022-08-15 00:02:21,2022,0
89452442,1660521745000.0,60073375,8.949,1.2980399999999999,polo,dot-usdt,11.61615996,0.0,spot,dot,2022-08-15 00:02:25,2022,0
89452443,1660521750000.0,60073376,8.944,1.28543,polo,dot-usdt,11.496885920000002,0.0,spot,dot,2022-08-15 00:02:30,2022,0
89452444,1660521754000.0,60073377,8.954,1.67106,polo,dot-usdt,14.96267124,0.0,spot,dot,2022-08-15 00:02:34,2022,0
89452445,1660521763000.0,60073378,8.952,0.79884,polo,dot-usdt,7.15121568,0.0,spot,dot,2022-08-15 00:02:43,2022,0
89452446,1660521825000.0,60073379,8.945,2.03228,polo,dot-usdt,18.1787446,0.0,spot,dot,2022-08-15 00:03:45,2022,0
89452447,1660521883000.0,60073380,8.953,2.8836100000000005,polo,dot-usdt,25.81696033,0.0,spot,dot,2022-08-15 00:04:43,2022,0
89452448,1660521887000.0,60073381,8.951,0.88616,polo,dot-usdt,7.93201816,0.0,spot,dot,2022-08-15 00:04:47,2022,0
