uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89492148,1660523605000.0,60126968,63.27,0.498955,polo,ltc-usdt,31.56888285,0.0,spot,ltc,2022-08-15 00:33:25,2022,0
89492565,1660525454000.0,60127385,63.799,0.005015000078371135,polo,ltc-usdt,0.31995199,0.0,spot,ltc,2022-08-15 01:04:14,2022,1
89492566,1660525458000.0,60127386,63.799,0.17539200003134847,polo,ltc-usdt,11.18983421,0.0,spot,ltc,2022-08-15 01:04:18,2022,1
89492567,1660525458000.0,60127387,63.798,0.06882999999999999,polo,ltc-usdt,4.39121634,0.0,spot,ltc,2022-08-15 01:04:18,2022,1
89492568,1660525458000.0,60127388,63.743,0.140097999937248,polo,ltc-usdt,8.930266809999999,0.0,spot,ltc,2022-08-15 01:04:18,2022,1
89492569,1660525458000.0,60127389,63.743,0.38432,polo,ltc-usdt,24.49770976,0.0,spot,ltc,2022-08-15 01:04:18,2022,1
89492570,1660525471000.0,60127390,63.761,0.13345500007841785,polo,ltc-usdt,8.50922426,0.0,spot,ltc,2022-08-15 01:04:31,2022,1
89492571,1660525476000.0,60127391,63.744,0.500945,polo,ltc-usdt,31.932238079999998,0.0,spot,ltc,2022-08-15 01:04:36,2022,1
89492572,1660525484000.0,60127392,63.759,0.19820899998431593,polo,ltc-usdt,12.63760763,0.0,spot,ltc,2022-08-15 01:04:44,2022,1
89492573,1660525487000.0,60127393,63.759,0.01824300004705218,polo,ltc-usdt,1.16315544,0.0,spot,ltc,2022-08-15 01:04:47,2022,1
89492574,1660525488000.0,60127394,63.753,0.16980200006274215,polo,ltc-usdt,10.82538691,0.0,spot,ltc,2022-08-15 01:04:48,2022,1
89492575,1660525496000.0,60127395,63.755,0.252374,polo,ltc-usdt,16.09010437,0.0,spot,ltc,2022-08-15 01:04:56,2022,1
89492576,1660525502000.0,60127396,63.745,0.18666100007843753,polo,ltc-usdt,11.89870545,0.0,spot,ltc,2022-08-15 01:05:02,2022,1
89492577,1660525515000.0,60127397,63.744,0.3440429999686245,polo,ltc-usdt,21.93067699,0.0,spot,ltc,2022-08-15 01:05:15,2022,1
89492578,1660525524000.0,60127398,63.744,0.5636479999686246,polo,ltc-usdt,35.92917811,0.0,spot,ltc,2022-08-15 01:05:24,2022,1
