uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89464874,1660521632000.0,60094629,0.07046,2059.815,polo,trx-usdt,145.1345649,0.0,spot,trx,2022-08-15 00:00:32,2022,0
89464875,1660521632000.0,60094630,0.07046,2064.9390000000003,polo,trx-usdt,145.49560194,0.0,spot,trx,2022-08-15 00:00:32,2022,0
89464876,1660521636000.0,60094631,0.07031,121.34,polo,trx-usdt,8.5314154,0.0,spot,trx,2022-08-15 00:00:36,2022,0
89464877,1660521643000.0,60094632,0.07036,1676.8149999999998,polo,trx-usdt,117.9807034,0.0,spot,trx,2022-08-15 00:00:43,2022,0
89464878,1660521692000.0,60094633,0.07034,127.02199999999999,polo,trx-usdt,8.93472748,0.0,spot,trx,2022-08-15 00:01:32,2022,0
89464879,1660521704000.0,60094634,0.07037,205.452,polo,trx-usdt,14.45765724,0.0,spot,trx,2022-08-15 00:01:44,2022,0
89464880,1660521712000.0,60094635,0.07036,208.27299999999997,polo,trx-usdt,14.654088279999998,0.0,spot,trx,2022-08-15 00:01:52,2022,0
89464881,1660521721000.0,60094636,0.07035,179.56600000000003,polo,trx-usdt,12.632468100000002,0.0,spot,trx,2022-08-15 00:02:01,2022,0
89464882,1660521728000.0,60094637,0.07033,11731.619,polo,trx-usdt,825.08476427,0.0,spot,trx,2022-08-15 00:02:08,2022,0
89464883,1660521733000.0,60094638,0.07033,84.667,polo,trx-usdt,5.95463011,0.0,spot,trx,2022-08-15 00:02:13,2022,0
89464884,1660521963000.0,60094639,0.07031,2740.088,polo,trx-usdt,192.65558728000002,0.0,spot,trx,2022-08-15 00:06:03,2022,0
89464885,1660521963000.0,60094640,0.07031,62.242000000000004,polo,trx-usdt,4.37623502,0.0,spot,trx,2022-08-15 00:06:03,2022,0
89464886,1660521990000.0,60094641,0.0702,706.491,polo,trx-usdt,49.5956682,0.0,spot,trx,2022-08-15 00:06:30,2022,0
89464887,1660522006000.0,60094642,0.07031,24.832,polo,trx-usdt,1.74593792,0.0,spot,trx,2022-08-15 00:06:46,2022,0
