	uid	time	trade_id	price	amount	exchange	instrmnt	vol_dllr	sell2	Class	Asset	datetime	year	hour
23035938	30824811	1660521691460.0	4819193	6.421	37.5	binc	fxs-usdt	240.7875	1.0	spot	fxs	2022-08-15 00:01:31.460000000	2022	0
23035939	30824812	1660521691460.0	4819194	6.421	23.2	binc	fxs-usdt	148.9672	1.0	spot	fxs	2022-08-15 00:01:31.460000000	2022	0
23035940	30824813	1660521691518.0	4819195	6.422	15.4	binc	fxs-usdt	98.8988	1.0	spot	fxs	2022-08-15 00:01:31.518000128	2022	0
23035941	30824814	1660521691518.0	4819196	6.422	5.6	binc	fxs-usdt	35.96319999999999	1.0	spot	fxs	2022-08-15 00:01:31.518000128	2022	0
23035942	30824815	1660521807393.0	4819197	6.421	37.5	binc	fxs-usdt	240.7875	1.0	spot	fxs	2022-08-15 00:03:27.392999936	2022	0
23035943	30824816	1660521807393.0	4819198	6.421	27.2	binc	fxs-usdt	174.6512	1.0	spot	fxs	2022-08-15 00:03:27.392999936	2022	0
23035944	30824817	1660521807393.0	4819199	6.421	64.1	binc	fxs-usdt	411.5861	1.0	spot	fxs	2022-08-15 00:03:27.392999936	2022	0
23035946	30824819	1660521807393.0	4819200	6.421	13.3	binc	fxs-usdt	85.39930000000001	1.0	spot	fxs	2022-08-15 00:03:27.392999936	2022	0
23035947	30824820	1660521807393.0	4819201	6.422	20.9	binc	fxs-usdt	134.2198	1.0	spot	fxs	2022-08-15 00:03:27.392999936	2022	0
23035948	30824821	1660521807393.0	4819202	6.424	37.0	binc	fxs-usdt	237.688	1.0	spot	fxs	2022-08-15 00:03:27.392999936	2022	0
23035949	30824822	1660521905752.0	4819203	6.426	2.0	binc	fxs-usdt	12.852	1.0	spot	fxs	2022-08-15 00:05:05.752000000	2022	0
23035950	30824823	1660521930352.0	4819204	6.422	15.0	binc	fxs-usdt	96.33	0.0	spot	fxs	2022-08-15 00:05:30.352000000	2022	0
23035951	30824824	1660522305605.0	4819205	6.419	1.9	binc	fxs-usdt	12.1961	0.0	spot	fxs	2022-08-15 00:11:45.604999936	2022	0
23035952	30824825	1660522357874.0	4819206	6.418	37.5	binc	fxs-usdt	240.675	1.0	spot	fxs	2022-08-15 00:12:37.873999872	2022	0
23035953	30824826	1660522364376.0	4819207	6.418	37.5	binc	fxs-usdt	240.675	1.0	spot	fxs	2022-08-15 00:12:44.376000000	2022	0
23035954	30824827	1660522364376.0	4819208	6.418	48.8	binc	fxs-usdt	313.1984	1.0	spot	fxs	2022-08-15 00:12:44.376000000	2022	0
23035955	30824828	1660522364376.0	4819209	6.418	13.1	binc	fxs-usdt	84.0758	1.0	spot	fxs	2022-08-15 00:12:44.376000000	2022	0
23035956	30824829	1660522364376.0	4819210	6.419	50.6	binc	fxs-usdt	324.8014	1.0	spot	fxs	2022-08-15 00:12:44.376000000	2022	0
23035957	30824830	1660522384061.0	4819211	6.416	37.5	binc	fxs-usdt	240.6	0.0	spot	fxs	2022-08-15 00:13:04.060999936	2022	0
23035958	30824831	1660522384061.0	4819212	6.414	60.8	binc	fxs-usdt	389.9712	0.0	spot	fxs	2022-08-15 00:13:04.060999936	2022	0
23035959	30824832	1660522557916.0	4819213	6.415	2.5	binc	fxs-usdt	16.0375	0.0	spot	fxs	2022-08-15 00:15:57.916000000	2022	0
23035960	30824833	1660522635406.0	4819214	6.415	12.4	binc	fxs-usdt	79.546	0.0	spot	fxs	2022-08-15 00:17:15.406000128	2022	0
23035961	30824834	1660522688525.0	4819215	6.421	3.3	binc	fxs-usdt	21.1893	1.0	spot	fxs	2022-08-15 00:18:08.524999936	2022	0
23035962	30824835	1660522706648.0	4819216	6.427	37.5	binc	fxs-usdt	241.0125	1.0	spot	fxs	2022-08-15 00:18:26.648000000	2022	0
23035963	30824836	1660522706648.0	4819217	6.428	20.8	binc	fxs-usdt	133.7024	1.0	spot	fxs	2022-08-15 00:18:26.648000000	2022	0
23035964	30824837	1660522706648.0	4819218	6.429	15.1	binc	fxs-usdt	97.0779	1.0	spot	fxs	2022-08-15 00:18:26.648000000	2022	0
23035965	30824838	1660522711546.0	4819219	6.428	20.8	binc	fxs-usdt	133.7024	1.0	spot	fxs	2022-08-15 00:18:31.545999872	2022	0
23035966	30824839	1660522711546.0	4819220	6.429	3.8	binc	fxs-usdt	24.4302	1.0	spot	fxs	2022-08-15 00:18:31.545999872	2022	0
23035967	30824840	1660522772739.0	4819221	6.423	36.7	binc	fxs-usdt	235.7241	0.0	spot	fxs	2022-08-15 00:19:32.739000064	2022	0
23035968	30824841	1660522775160.0	4819222	6.425	13.0	binc	fxs-usdt	83.52499999999999	0.0	spot	fxs	2022-08-15 00:19:35.160000000	2022	0
23035969	30824842	1660522794202.0	4819223	6.427	7.7	binc	fxs-usdt	49.4879	1.0	spot	fxs	2022-08-15 00:19:54.201999872	2022	0
23035970	30824843	1660522812397.0	4819224	6.424	7.4	binc	fxs-usdt	47.537600000000005	0.0	spot	fxs	2022-08-15 00:20:12.396999936	2022	0
23035971	30824844	1660522898807.0	4819225	6.433	5.0	binc	fxs-usdt	32.165	1.0	spot	fxs	2022-08-15 00:21:38.807000064	2022	0
23035972	30824845	1660523138556.0	4819226	6.428	37.5	binc	fxs-usdt	241.05	1.0	spot	fxs	2022-08-15 00:25:38.556000000	2022	0
23035973	30824846	1660523138556.0	4819227	6.429	9.1	binc	fxs-usdt	58.5039	1.0	spot	fxs	2022-08-15 00:25:38.556000000	2022	0
23035974	30824847	1660523463689.0	4819228	6.428	37.5	binc	fxs-usdt	241.05	1.0	spot	fxs	2022-08-15 00:31:03.688999936	2022	0
23035975	30824848	1660523463689.0	4819229	6.429	11.7	binc	fxs-usdt	75.2193	1.0	spot	fxs	2022-08-15 00:31:03.688999936	2022	0
23035976	30824849	1660523463689.0	4819230	6.429	15.5	binc	fxs-usdt	99.6495	1.0	spot	fxs	2022-08-15 00:31:03.688999936	2022	0
23035977	30824850	1660523463985.0	4819231	6.429	23.3	binc	fxs-usdt	149.7957	0.0	spot	fxs	2022-08-15 00:31:03.984999936	2022	0
23035978	30824851	1660523465517.0	4819232	6.429	20.2	binc	fxs-usdt	129.8658	0.0	spot	fxs	2022-08-15 00:31:05.516999936	2022	0
23035979	30824852	1660523467037.0	4819233	6.429	1.8	binc	fxs-usdt	11.5722	0.0	spot	fxs	2022-08-15 00:31:07.036999936	2022	0
23035980	30824853	1660523468572.0	4819234	6.426	15.5	binc	fxs-usdt	99.603	0.0	spot	fxs	2022-08-15 00:31:08.572000000	2022	0
23035981	30824854	1660523470080.0	4819235	6.425	21.3	binc	fxs-usdt	136.8525	0.0	spot	fxs	2022-08-15 00:31:10.080000000	2022	0
23035982	30824855	1660523471595.0	4819236	6.425	16.2	binc	fxs-usdt	104.085	0.0	spot	fxs	2022-08-15 00:31:11.595000064	2022	0
23035983	30824856	1660523473100.0	4819237	6.422	19.8	binc	fxs-usdt	127.1556	0.0	spot	fxs	2022-08-15 00:31:13.100000000	2022	0
23035984	30824857	1660523474628.0	4819238	6.422	17.7	binc	fxs-usdt	113.6694	0.0	spot	fxs	2022-08-15 00:31:14.628000000	2022	0
23035985	30824858	1660523476148.0	4819239	6.422	22.8	binc	fxs-usdt	146.42159999999998	0.0	spot	fxs	2022-08-15 00:31:16.148000000	2022	0
23035986	30824859	1660523477669.0	4819240	6.422	14.7	binc	fxs-usdt	94.4034	0.0	spot	fxs	2022-08-15 00:31:17.668999936	2022	0
23035987	30824860	1660523480686.0	4819241	6.422	22.2	binc	fxs-usdt	142.5684	0.0	spot	fxs	2022-08-15 00:31:20.686000128	2022	0
23035988	30824861	1660523482226.0	4819242	6.422	15.3	binc	fxs-usdt	98.2566	0.0	spot	fxs	2022-08-15 00:31:22.225999872	2022	0
23035989	30824862	1660523604262.0	4819243	6.428	150.0	binc	fxs-usdt	964.2	1.0	spot	fxs	2022-08-15 00:33:24.262000128	2022	0
23035990	30824863	1660523604262.0	4819244	6.428	15.5	binc	fxs-usdt	99.634	1.0	spot	fxs	2022-08-15 00:33:24.262000128	2022	0
23035991	30824864	1660523604414.0	4819245	6.43	23.0	binc	fxs-usdt	147.89	0.0	spot	fxs	2022-08-15 00:33:24.414000128	2022	0
23035992	30824865	1660523605930.0	4819246	6.43	14.5	binc	fxs-usdt	93.235	0.0	spot	fxs	2022-08-15 00:33:25.929999872	2022	0
23035993	30824866	1660523607485.0	4819247	6.43	17.0	binc	fxs-usdt	109.31	0.0	spot	fxs	2022-08-15 00:33:27.484999936	2022	0
23035994	30824867	1660523618229.0	4819248	6.432	2.2	binc	fxs-usdt	14.1504	0.0	spot	fxs	2022-08-15 00:33:38.228999936	2022	0
23035995	30824868	1660523621085.0	4819249	6.435	37.5	binc	fxs-usdt	241.3125	1.0	spot	fxs	2022-08-15 00:33:41.084999936	2022	0
23035996	30824869	1660523621085.0	4819250	6.435	148.7	binc	fxs-usdt	956.8845	1.0	spot	fxs	2022-08-15 00:33:41.084999936	2022	0
